Material,Target_D50,Trial,theta_bernstein,reachable,cross_type,k_star,S_AE_at_k_star,min_S_AE,margin,n_cycles,Measured_D50
Citricacid,20,1st,31.140582188154333,False,unreach,,,36.26458406911584,5.124001880961508,24,21.272009219441358
Citricacid,20,2nd,31.140582188154333,False,unreach,,,33.956528592172965,2.815946404018632,29,14.075905155711363
Citricacid,20,3rd,31.140582188154333,True,last_cross,26.0,30.385245777751003,30.385245777751003,-0.7553364104033307,27,16.87195439981289
Citricacid,50,1st,178.21478109589896,True,earlier_cross,12.0,164.14628009582003,136.04917486421658,-42.165606231682375,14,46.069932009211314
Citricacid,50,2nd,178.21478109589896,True,earlier_cross,14.0,170.59991494478808,115.0393280158252,-63.17545308007375,17,31.445636319257012
Citricacid,50,3rd,178.21478109589896,True,earlier_cross,12.0,172.29437182523637,147.64047590765298,-30.574305188245972,15,37.32884736783548
Citricacid,100,1st,414.93416204084997,True,last_cross,7.0,362.4283409777658,362.4283409777658,-52.50582106308417,8,83.2364100795578
Citricacid,100,2nd,414.93416204084997,True,last_cross,7.0,398.2921123969994,398.2921123969994,-16.642049643850555,8,100.21029022100892
Citricacid,100,3rd,414.93416204084997,True,last_cross,7.0,396.3997998335549,396.3997998335549,-18.53436220729509,8,111.58273301475734
MSG,50,1st,386.32995746659975,True,last_cross,22.0,385.8854347971261,338.63703961662355,-47.6929178499762,25,53.10830157465986
MSG,50,2nd,386.32995746659975,True,last_cross,19.0,385.2387908873467,370.0773370472001,-16.252620419399648,25,54.937551801733015
MSG,50,3rd,386.32995746659975,True,last_cross,27.0,351.6801200310383,351.6801200310383,-34.64983743556144,28,50.079034369876375
MSG,100,1st,500.62264594689435,False,unreach,,,607.0577192961571,106.43507334926272,12,129.25126539829577
MSG,100,2nd,500.62264594689435,False,unreach,,,605.4434730808151,104.82082713392077,12,124.92381711475167
MSG,100,3rd,500.62264594689435,False,unreach,,,576.8193733577356,76.19672741084122,12,123.9249330540139
MSG,200,1st,1147.1254626452355,True,last_cross,8.0,920.294605909186,920.294605909186,-226.83085673604955,9,179.5878697069383
MSG,200,2nd,1147.1254626452355,True,earlier_cross,6.0,1103.0685709626978,934.4885327213892,-212.6369299238463,8,203.29037689684492
MSG,200,3rd,1147.1254626452355,True,last_cross,7.0,1041.9887066319602,1041.9887066319602,-105.13675601327532,8,189.03287160734268
NaCl,150,1st,53.593442594356304,True,earlier_cross,15.0,51.765611754954364,46.36089741868371,-7.232545175672591,20,133.36230240096396
NaCl,150,2nd,53.593442594356304,True,earlier_cross,21.0,50.06629996376032,43.95892358010045,-9.63451901425585,24,123.80627634317088
NaCl,150,3rd,53.593442594356304,True,earlier_cross,18.0,53.121613873386316,43.90811744380238,-9.685325150553922,22,139.81226652875748
NaCl,200,1st,92.5716138293304,True,last_cross,12.0,86.1435716372302,86.1435716372302,-6.428042192100207,13,196.06905313065772
NaCl,200,2nd,92.5716138293304,True,last_cross,12.0,86.49338584268455,86.49338584268455,-6.078227986645857,13,204.38753093854234
NaCl,200,3rd,92.5716138293304,True,last_cross,12.0,83.87542267241523,83.87542267241523,-8.696191156915177,13,189.5014959569752
NaCl,250,1st,136.29276000233378,True,last_cross,8.0,127.72186786886193,127.72186786886193,-8.570892133471844,9,223.63154378301905
NaCl,250,2nd,136.29276000233378,False,unreach,,,136.75040199131456,0.45764198898078234,8,252.07423035335492
NaCl,250,3rd,136.29276000233378,True,last_cross,7.0,134.1770458681974,134.1770458681974,-2.1157141341363683,8,238.22189823722175
